,Alpha,Beta,Alpha P-Value
18894,-0.003232564,0.079512371,0.075602437
19076,-0.004316336,0.139830535,0.088682883
12781,-0.004288141,0.133155366,0.00997658
7107,-0.005830948,0.056087158,0.041027243
9983,-0.006706233,0.026000541,0.000236189
18463,-0.018083642,0.054406212,9.88E-12
68,-0.007640084,0.033008847,2.49E-05
16964,-0.008129906,0.102802769,0.001203907
13905,-0.009566266,0.043699233,1.61E-06
18661,-0.004479082,0.007041541,0.001447002
